id,latitude,longitude,population
Madrid,40.24,40.24,3266000
Alcorcon,40.2057,40.2057,168299
Las Rozas de Madrid,40.293,40.293,88065
Tres Cantos,40.3624,40.3624,41147
Coslada,40.2534,40.2534,91218
Getafe,40.18,40.18,169130
Alcobendas,40.32,40.32,110080
Pinto,40.1428,40.1428,44524
Valdemoro,40.1127,40.1127,65922
Leganes,40.1941,40.1941,187227
