id;latitude;longitude;popilation
Madrid;40.24;3.41;3266000
Alcorcon;40.2057;3.4942;168299
Las Rozas de Madrid;40.293;3.5224;88065
Tres Cantos;40.3624;3.4224;41147
Coslada;40.2534;3.3354;91218
Getafe;40.18;3.43;169130
Alcobendas;40.32;3.38;110080
Pinto;40.1428;3.4158;44524
Valdemoro;40.1127;3.4027;65922
Leganes;40.1941;3.4555;187227
